Districts,factory_count,running_count,eco_count,fully_auto_count,closure_count,operational_rate,eco_share,closure_rate,population_2011,factories_per_100k,modern_per_100k,pop_norm,modern_norm,gap_score,households_2011_x,factories_per_1000_hh,modern_per_1000_hh,households_2011_y,households_2011,gap_score_hh
Adilabad,3,2,3,0,1,66.7,100.0,33.3,708972,0.42,0.0,0.07028498491962062,0.0,0.07,170234,0.018,0.0,170234,170234,0.067
Bhadradri Kothagudem,10,9,9,0,1,90.0,90.0,10.0,1068457,0.94,0.0,0.14314038311175856,0.0,0.143,261445,0.038,0.0,261445,261445,0.14
Hanumakonda,22,19,19,2,3,86.4,86.4,13.6,793418,2.77,0.25,0.08739932058239731,0.4166666666666667,0.051,196876,0.112,0.01,196876,196876,0.053
Hyderabad,30,28,26,13,2,93.3,86.7,6.7,3943323,0.76,0.33,0.7257780652933206,0.55,0.327,1005646,0.03,0.013,1005646,1005646,0.351
Jagtial,10,8,6,0,2,80.0,60.0,20.0,983414,1.02,0.0,0.12590505582841158,0.0,0.126,238891,0.042,0.0,238891,238891,0.122
Jangaon,14,13,11,1,1,92.9,78.6,7.1,620278,2.26,0.16,0.05230972395670567,0.26666666666666666,0.038,151285,0.093,0.007,151285,151285,0.037
Jayashankar Bhupalpally,7,4,6,1,3,57.1,85.7,42.9,596040,1.17,0.17,0.04739750469475861,0.2833333333333334,0.034,142698,0.049,0.007,142698,142698,0.032
Jogulamba Gadwal,6,4,4,2,2,66.7,66.7,33.3,638840,0.94,0.31,0.05607161082609512,0.5166666666666667,0.027,153087,0.039,0.013,153087,153087,0.026
Kamareddy,1,1,0,0,0,100.0,0.0,0.0,972625,0.1,0.0,0.12371849201880902,0.0,0.124,234109,0.004,0.0,234109,234109,0.118
Karimnagar,20,20,10,3,0,100.0,50.0,0.0,1097753,1.82,0.27,0.14907768715903974,0.45000000000000007,0.082,269482,0.074,0.011,269482,269482,0.082
Khammam,11,8,11,1,3,72.7,100.0,27.3,1401639,0.78,0.07,0.21066505668771557,0.11666666666666668,0.186,345231,0.032,0.003,345231,345231,0.181
Kumuram Bheem Asifabad,11,7,3,1,4,63.6,27.3,36.4,573803,1.92,0.17,0.042890820161054645,0.2833333333333334,0.031,133762,0.082,0.007,133762,133762,0.027
Mahabubabad,4,2,1,1,2,50.0,25.0,50.0,770170,0.52,0.13,0.0826877406912452,0.21666666666666667,0.065,184940,0.022,0.005,184940,184940,0.063
Mancherial,16,13,11,3,3,81.2,68.8,18.8,906225,1.77,0.33,0.11026146755337109,0.55,0.05,219045,0.073,0.014,219045,219045,0.047
Medak,7,6,2,0,1,85.7,28.6,14.3,767428,0.91,0.0,0.08213203043395256,0.0,0.082,183621,0.038,0.0,183621,183621,0.078
Medchal Malkajgiri,42,41,32,10,1,97.6,76.2,2.4,2442975,1.72,0.41,0.421708490855506,0.6833333333333333,0.134,621583,0.068,0.016,621583,621583,0.153
Mulugu,7,4,4,0,3,57.1,57.1,42.9,362170,1.93,0.0,0.0,0.0,0.0,86234,0.081,0.0,86234,86234,0.0
Nagarkurnool,6,6,4,3,0,100.0,66.7,0.0,893418,0.67,0.34,0.10766592369299663,0.5666666666666668,0.047,212543,0.028,0.014,212543,212543,0.044
Nalgonda,13,12,9,2,1,92.3,69.2,7.7,1738750,0.75,0.12,0.278986005099888,0.2,0.223,421876,0.031,0.005,421876,421876,0.214
Narayanpet,7,7,3,2,0,100.0,42.9,0.0,599402,1.17,0.33,0.04807886789133696,0.55,0.022,141203,0.05,0.014,141203,141203,0.019
Nirmal,6,3,3,0,3,50.0,50.0,50.0,707773,0.85,0.0,0.07004198834832454,0.0,0.07,170234,0.035,0.0,170234,170234,0.067
Nizamabad,3,2,1,1,1,66.7,33.3,33.3,1529128,0.2,0.07,0.23650274632738752,0.11666666666666668,0.209,369871,0.008,0.003,369871,369871,0.199
Peddapalli,21,20,7,1,1,95.2,33.3,4.8,795332,2.64,0.13,0.0877872233659342,0.21666666666666667,0.069,191243,0.11,0.005,191243,191243,0.067
Rajanna Sircilla,5,2,4,1,3,40.0,80.0,60.0,549453,0.91,0.18,0.03795590230362371,0.3,0.027,131876,0.038,0.008,131876,131876,0.025
Ranga Reddy,6,6,5,2,0,100.0,83.3,0.0,5296396,0.11,0.04,1.0,0.06666666666666667,0.933,1342187,0.004,0.001,1342187,1342187,0.96
Sangareddy,11,11,2,2,0,100.0,18.2,0.0,1324143,0.83,0.15,0.1949592499411255,0.25,0.146,318432,0.035,0.006,318432,318432,0.141
Siddipet,10,10,10,6,0,100.0,100.0,0.0,1000954,1.0,0.6,0.1294598180140107,1.0,0.0,241832,0.041,0.025,241832,241832,0.0
Suryapet,9,7,6,2,2,77.8,66.7,22.2,1099561,0.82,0.18,0.14944410734327937,0.3,0.105,264321,0.034,0.008,264321,264321,0.096
Wanaparthy,1,1,0,0,0,100.0,0.0,0.0,596786,0.17,0.0,0.04754869355396368,0.0,0.048,141203,0.007,0.0,141203,141203,0.044
Warangal,9,4,6,0,5,44.4,66.7,55.6,1268400,0.71,0.0,0.18366203736918416,0.0,0.184,306543,0.029,0.0,306543,306543,0.175
Yadadri Bhuvanagiri,27,23,16,4,4,85.2,59.3,14.8,708701,3.81,0.56,0.0702300624251909,0.9333333333333335,0.005,170432,0.158,0.023,170432,170432,0.005
